Product Title,Price,SKU,URL
Apple AirTag,39,'99932113,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airtag?accessory=99932113
Apple AirTag 4er-Pack,129,'99932114,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airtag-4er-pack?accessory=99932114
Apple AirPods Pro (2. Generation),294,'99933874,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airpods-pro-2-generation?accessory=99933874
Apple AirPods (3.Generation) mit MagSafe Ladecase,219,'99932758,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airpods-3generation-mit-magsafe-ladecase?accessory=99932758
Apple AirPods (2.Generation) mit Ladecase,159,'99929271,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airpods-2generation-mit-ladecase?accessory=99929271
Samsung 25W EP-TA800N Schnellladegerät,19.90,'99931724,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-25w-ep-ta800n-schnellladegeraet?accessory=99931724
Apple 20W USB-C Power Adapter,25,'99931520,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-20w-usb-c-power-adapter?accessory=99931520
Apple MagSafe Induktives Ladegerät,49,'99931521,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-magsafe-induktives-ladegeraet?accessory=99931521
Apple Externe MagSafe Batterie,119,'99932620,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-externe-magsafe-batterie?accessory=99932620
Apple Watch Schnellladegerät auf USB-C (1m),39,'99932677,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-watch-schnellladegeraet-auf-usb-c-1m?accessory=99932677
xqisit Lade- und Datenkabel Baumwolle mit USB-C,14.95,'99929856,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-lade-und-datenkabel-baumwolle-mit-usb-c?accessory=99929856
xqisit Lade- und Datenkabel Baumwolle mit USB-C / USB-A,12.95,'99929845,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-lade-und-datenkabel-baumwolle-mit-usb-c-usb-a
xqisit Lade- und Datenkabel Lightning Baumwolle mit USB-C,14.95,'99929843,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-lade-und-datenkabel-lightning-baumwolle-mit-usb-c?accessory=99929843
Apple Lightning auf USB Kabel (1m),25,'99927987,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-lightning-auf-usb-kabel-1m?accessory=99927987
Apple HomePod (2. Generation),345,'99934198,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-homepod-2-generation?accessory=99934198
Apple HomePod mini,107,'99931522,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-homepod-mini?accessory=99931522
Anker 65W GaN Prime 3-Port Netzteil,59.95,'99934043,https://www.telekom.de/unterwegs/zubehoer-und-mehr/anker/anker-65w-gan-prime-3-port-netzteil?accessory=99934043
Anker 622 Magnetische Powerbank Mag-Go 5000 mAh,59.95,'99934045,https://www.telekom.de/unterwegs/zubehoer-und-mehr/anker/anker-622-magnetische-powerbank-mag-go-5000-mah?accessory=99934045
Anker Powerbank PowerCore 5000 mAh,24.95,'99934044,https://www.telekom.de/unterwegs/zubehoer-und-mehr/anker/anker-powerbank-powercore-5000-mah?accessory=99934044
xqisit Premium Powerbank 5.000 mAh,14.95,'99929869,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-premium-powerbank-5000-mah?accessory=99929869
"xqisit Kfz-Ladegerät 5,4A Dual USB-C",14.95,'99929862,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-kfz-ladegeraet-54a-dual-usb-c?accessory=99929862
Hama 65W USB-C / USB-A GaN Ladegerät,39.95,'99931610,https://www.telekom.de/unterwegs/zubehoer-und-mehr/hama/hama-65w-usb-c-usb-a-gan-ladegeraet?accessory=99931610
Apple Pencil (2. Generation),149,'99928670,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-pencil-2generation?accessory=99928670
Apple Pencil (1. Generation) mit Adapter,119,'99933948,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-pencil-1-generation-mit-adapter?accessory=99933948
Logitech Crayon Digital-Zeichenstift,79.95,'99930177,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-crayon-digital-zeichenstift?accessory=99930177
Apple EarPods mit Lightning Connector,19,'99925585,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-earpods-mit-lightning-connector?accessory=99925585
Nothing Ear (2),133,'99934288,https://www.telekom.de/unterwegs/zubehoer-und-mehr/nothing/nothing-ear-2?accessory=99934288
Samsung Galaxy Buds2 Pro,179,'99933808,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-galaxy-buds2-pro?accessory=99933808
Samsung Galaxy Buds2,99,'99932420,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-galaxy-buds2?accessory=99932420
Displex Full Screen Glas Telekom T Phone Pro,19.95,'99934039,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-telekom-t-phone-pro?accessory=99934039
Displex Full Screen Glas Telekom T Phone,19.95,'99934038,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-telekom-t-phone?accessory=99934038
Displex Full Screen Glas Apple iPhone 14 Pro,19.95,'99933482,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-apple-iphone-14-pro?accessory=99933482
Displex Full Screen Glas Apple iPhone 14 Pro Max,19.95,'99933483,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-apple-iphone-14-pro-max?accessory=99933483
Displex Full Screen Glas Apple iPhone 14 / 13 / 13 Pro,19.95,'99933480,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-apple-iphone-14-13-13-pro?accessory=99933480
Displex Full Screen Glas Apple iPhone 14 Plus,19.95,'99933481,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-apple-iphone-14-plus?accessory=99933481
Displex Privacy Display Glas Apple iPhone 14 Plus,24.95,'99933478,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-privacy-display-glas-apple-iphone-14-plus?accessory=99933478
Displex Privacy Display Glas Apple iPhone 14 Pro Max,24.95,'99933479,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-privacy-display-glas-apple-iphone-14-pro-max?accessory=99933479
Displex Privacy Display Glas Apple iPhone 14,24.95,'99933476,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-privacy-display-glas-apple-iphone-14?accessory=99933476
Displex Privacy Display Glas Apple iPhone 14 Pro,24.95,'99933477,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-privacy-display-glas-apple-iphone-14-pro?accessory=99933477
SanDisk microSDXC Card Ultra + SD-Adapter,14.95,'99931666,https://www.telekom.de/unterwegs/zubehoer-und-mehr/sandisk/sandisk-microsdxc-card-ultra-plus-sd-adapter?accessory=99931666
Displex Full Screen Glas Samsung Galaxy S23 Ultra,19.95,'99934052,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-samsung-galaxy-s23-ultra?accessory=99934052
Displex Full Screen Glas Samsung Galaxy S23+ / S22+,19.95,'99934051,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-samsung-galaxy-s23plus-s22plus?accessory=99934051
Displex Full Screen Glas Samsung Galaxy S23 / S22,19.95,'99934050,https://www.telekom.de/unterwegs/zubehoer-und-mehr/displex/displex-full-screen-glas-samsung-galaxy-s23-s22?accessory=99934050
A Good Case Telekom T Phone Pro,29.95,'99933970,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-telekom-t-phone-pro?accessory=99933970
A Good Case Telekom T Phone,29.95,'99933969,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-telekom-t-phone?accessory=99933969
Apple Clear Case iPhone 14 Pro Max,59,'99933814,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-14-pro-max?accessory=99933814
Apple Clear Case iPhone 14 Pro,59,'99933830,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-14-pro?accessory=99933830
Apple Clear Case iPhone 14,59,'99933822,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-14?accessory=99933822
Apple Clear Case iPhone 14 Plus,59,'99933838,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-14-plus?accessory=99933838
Apple Leder Case iPhone 14 Pro Max,69,'99933819,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-14-pro-max?accessory=99933819
Apple Leder Case iPhone 14 Pro,69,',https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-14-pro?accessory=99933836
Apple Leder Case iPhone 14,69,'99933828,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-14?accessory=99933828
Apple Leder Case iPhone 14 Plus,69,'99933845,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-14-plus?accessory=99933845
Apple Silikon Case iPhone 14 Pro Max,59,'99933818,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-14-pro-max?accessory=99933818
Apple Silikon Case iPhone 14 Pro,59,',https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-14-pro?accessory=99933832
Apple Silikon Case iPhone 14,59,'99933823,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-14?accessory=99933823
Apple Silikon Case iPhone 14 Plus,59,'99933842,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-14-plus?accessory=99933842
Apple Leder Wallet mit MagSafe,29.95,'99931395,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-wallet-mit-magsafe?accessory=99931395
A Good Cover No Plastic Apple iPhone 14 Pro,29.95,'99933851,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-cover-no-plastic-apple-iphone-14-pro?accessory=99933851
A Good Cover No Plastic Apple iPhone 14 Pro Max,29.95,'99933853,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-cover-no-plastic-apple-iphone-14-pro-max?accessory=99933853
A Good Cover No Plastic Apple iPhone 14,29.95,'99933850,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-cover-no-plastic-apple-iphone-14?accessory=99933850
A Good Cover No Plastic Apple iPhone 14 Plus,29.95,'99933852,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-cover-no-plastic-apple-iphone-14-plus?accessory=99933852
Neebo Baby Sensor-Armband,99,'99929277,https://www.telekom.de/unterwegs/zubehoer-und-mehr/neebo/neebo-baby-sensor-armband?accessory=99929277
Woodcessories Bio Clear Case Magsafe Apple iPhone 14 Pro,19.95,'99933869,https://www.telekom.de/unterwegs/zubehoer-und-mehr/woodcessories/woodcessories-bio-clear-case-magsafe-apple-iphone-14-pro?accessory=99933869
Woodcessories Bio Clear Case Magsafe Apple iPhone 14 Pro Max,19.95,'99933871,https://www.telekom.de/unterwegs/zubehoer-und-mehr/woodcessories/woodcessories-bio-clear-case-magsafe-apple-iphone-14-pro-max?accessory=99933871
Woodcessories Bio Clear Case Magsafe Apple iPhone 14,19.95,'99933868,https://www.telekom.de/unterwegs/zubehoer-und-mehr/woodcessories/woodcessories-bio-clear-case-magsafe-apple-iphone-14?accessory=99933868
Woodcessories Bio Clear Case Magsafe Apple iPhone 14 Plus,19.95,'99933870,https://www.telekom.de/unterwegs/zubehoer-und-mehr/woodcessories/woodcessories-bio-clear-case-magsafe-apple-iphone-14-plus?accessory=99933870
xqisit Slim Wallet Selection Apple iPhone 14 Pro,19.95,'99933486,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-slim-wallet-selection-apple-iphone-14-pro?accessory=99933486
xqisit Slim Wallet Selection Apple iPhone 14 Pro Max,19.95,'99933487,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-slim-wallet-selection-apple-iphone-14-pro-max?accessory=99933487
xqisit Slim Wallet Selection Apple iPhone 14,19.95,'99933484,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-slim-wallet-selection-apple-iphone-14?accessory=99933484
xqisit Slim Wallet Selection Apple iPhone 14 Plus,19.95,'99933485,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xqisit/xqisit-slim-wallet-selection-apple-iphone-14-plus?accessory=99933485
Nothing Phone (1) Clear Case,19.95,'99933446,https://www.telekom.de/unterwegs/zubehoer-und-mehr/nothing/nothing-phone-1-clear-case?accessory=99933446
"Apple Lightning auf 3,5-mm-Kopfhöreranschluss Adapter",9.95,'99925584,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-lightning-auf-35-mm-kopfhoereranschluss-adapter?accessory=99925584
Apple Silikon Case iPhone 13 Pro Max,24.95,'99932529,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-13-pro-max?accessory=99932529
Apple Silikon Case iPhone 13 Pro,59,'99932511,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-13-pro?accessory=99932511
Apple Silikon Case iPhone 13,59,'99932534,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-13?accessory=99932534
Apple Silikon Case iPhone 13 mini,59,'99932518,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-silikon-case-iphone-13-mini?accessory=99932518
Apple Clear Case iPhone 13 Pro Max,59,'99932525,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-13-pro-max?accessory=99932525
Apple Clear Case iPhone 13 Pro,59,'99932508,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-13-pro?accessory=99932508
Apple Clear Case iPhone 13,59,'99932533,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-13?accessory=99932533
Apple Clear Case iPhone 13 mini,59,'99932516,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-13-mini?accessory=99932516
Apple Leder Case iPhone 13 Pro Max,29.95,'99932531,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-13-pro-max?accessory=99932531
Apple Leder Case iPhone 13 Pro,29.95,',https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-13-pro?accessory=99932532
Apple Leder Case iPhone 13,69,',https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-13?accessory=99932538
Apple Leder Case iPhone 13 mini,69,',https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-leder-case-iphone-13-mini?accessory=99932522
A Good Case Apple iPhone 13 Pro Max,19.95,'99932558,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-apple-iphone-13-pro-max?accessory=99932558
A Good Case Apple iPhone 13 Pro,19.95,'99932555,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-apple-iphone-13-pro?accessory=99932555
A Good Case Apple iPhone 13,19.95,'99932553,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-apple-iphone-13?accessory=99932553
A Good Case Apple iPhone 13 mini,19.95,'99932552,https://www.telekom.de/unterwegs/zubehoer-und-mehr/a-good/a-good-case-apple-iphone-13-mini?accessory=99932552
"Apple Magic Keyboard Folio 10,9 iPad Pro (10. Generation)",299,'99933953,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-magic-keyboard-folio-109-ipad-pro-10-generation?accessory=99933953
"Apple Magic Keyboard 12,9"" iPad Pro (5. Generation)",429,'99932109,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-magic-keyboard-129-ipad-pro-5-generation?accessory=99932109
"Apple Smart Keyboard Folio 12,9 iPad Pro (4. Generation)",249,'99930713,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-smart-keyboard-folio-129-ipad-pro-4-generation?accessory=99930713
"Apple Smart Folio 12,9"" iPad Pro (3. Generation)",119,'99928665,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-smart-folio-129-ipad-pro-3-generation?accessory=99928665
"Apple Smart Keyboard Folio 11"" iPad Pro (2. Generation)",219,'99930707,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-smart-keyboard-folio-11-ipad-pro-2-generation?accessory=99930707
Apple Smart Keyboard iPad (7. Generation),199,'99930724,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-smart-keyboard-ipad-7-generation?accessory=99930724
Samsung S-View Wallet Cover Galaxy S23 Ultra,34.97,'99934086,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-s-view-wallet-cover-galaxy-s23-ultra?accessory=99934086
Samsung S-View Wallet Cover Galaxy S23+,34.97,'99934088,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-s-view-wallet-cover-galaxy-s23plus?accessory=99934088
Samsung S-View Wallet Cover Galaxy S23,34.97,'99934084,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-s-view-wallet-cover-galaxy-s23?accessory=99934084
Samsung Silikon Cover Galaxy S23 Ultra,27.96,'99934087,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-silikon-cover-galaxy-s23-ultra?accessory=99934087
Samsung Silikon Cover Galaxy S23+,27.96,'99934089,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-silikon-cover-galaxy-s23plus?accessory=99934089
Samsung Silikon Cover Galaxy S23,27.96,'99934085,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-silikon-cover-galaxy-s23?accessory=99934085
Samsung Standing Cover Galaxy Z Fold4 und Pen,62.96,'99933813,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-standing-cover-galaxy-z-fold4-und-pen?accessory=99933813
Samsung Clear Galaxy Cover Z Flip4,17.47,'99933812,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-clear-galaxy-cover-z-flip4?accessory=99933812
Samsung Clear View Cover Galaxy S22 5G,27.93,'99933010,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-clear-view-cover-galaxy-s22-5g?accessory=99933010
Samsung Silicone Cover Galaxy S22 5G,20.93,'99933007,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-silicone-cover-galaxy-s22-5g?accessory=99933007
"Logitech Slim Folio Apple 12,9"" iPad Pro (4. Gen.)",129,'99931231,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-slim-folio-apple-129-ipad-pro-4-gen?accessory=99931231
"Logitech Folio Touch Apple 11"" iPad Pro / iPad Air (4. Gen.)",189,'99932048,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-folio-touch-apple-11-ipad-pro-ipad-air-4-gen?accessory=99932048
"Logitech Slim Folio Apple 11"" iPad Pro (2. Gen.)",139,'99931229,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-slim-folio-apple-11-ipad-pro-2-gen?accessory=99931229
Logitech Combo Touch Schutzhülle Apple iPad (7. Generation),179,'99930937,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-combo-touch-schutzhuelle-apple-ipad-7-generation?accessory=99930937
Logitech Rugged Schutzhülle Apple iPad (7. Generation),139.95,'99930305,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-rugged-schutzhuelle-apple-ipad-7-generation?accessory=99930305
"Logitech Slim Folio für Apple iPad 10,2""",119,'99930486,https://www.telekom.de/unterwegs/zubehoer-und-mehr/logitech/logitech-slim-folio-fuer-apple-ipad-102?accessory=99930486
Samsung Smart S-View Wallet Cover Galaxy A53 5G,27.93,'99933306,https://www.telekom.de/unterwegs/zubehoer-und-mehr/samsung/samsung-smart-s-view-wallet-cover-galaxy-a53-5g?accessory=99933306
Xiaomi Smart Band 7 Pro,77.77,'99933958,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xiaomi/xiaomi-smart-band-7-pro?accessory=99933958
Xiaomi Redmi Pad,266,'99933977,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xiaomi/xiaomi-redmi-pad?accessory=99933977
Xiaomi Smart Band 7 Pro,77.77,'99933958,https://www.telekom.de/unterwegs/zubehoer-und-mehr/xiaomi/xiaomi-smart-band-7-pro?accessory=99933958
Hama Isolierbecher Everyday,5,'99928056,https://www.telekom.de/unterwegs/zubehoer-und-mehr/hama/hama-isolierbecher-everyday?accessory=99928056
Apple Clear Case iPhone 12 Pro Max,19.95,'99931359,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-12-pro-max?accessory=99931359
Apple AirTag Anhänger,39,'99932122,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airtag-anhaenger?accessory=99932122
Apple AirTag Leder Anhänger,55,'99932119,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airtag-leder-anhaenger?accessory=99932119
Apple AirTag Leder Schlüsselanhänger,49,'99932116,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-airtag-leder-schluesselanhaenger?accessory=99932116
Apple Clear Case iPhone 11 Pro Max,14.95,'99929825,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-11-pro-max?accessory=99929825
Apple Clear Case iPhone 12 / 12 Pro,24.95,'99931345,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-12-12-pro?accessory=99931345
Apple Clear Case iPhone 12 mini,19.95,'99931390,https://www.telekom.de/unterwegs/zubehoer-und-mehr/apple/apple-clear-case-iphone-12-mini?accessory=99931390
Brightstar Taschen-Organizer inklusive Phonestand,5,'99931251,https://www.telekom.de/unterwegs/zubehoer-und-mehr/brightstar/brightstar-taschen-organizer-inklusive-phonestand?accessory=99931251
