Number,Country,Comp,Season,Round,Wk,Day,Date,Time,Home,xG_h,Score,xG_a,Away,Attendance,Venue,Referee,href,CoachH,CoachA,CaptainH,CaptainA,url_CaptainH,url_CaptainA,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,goal18,goal19,goal20,goal21,goal22,goal23,goal24,goal25
1,,Copa Libertadores,2024,Group stage,1,Tue,2024-04-02,17:00,Millonarios,,,,Flamengo,,Estadio Nemesio Camacho El Campín,,https://fbref.com/en/stathead/matchup/teams/639950ae/4c319052/Flamengo-vs-Millonarios-History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Copa Libertadores,2024,Group stage,1,Tue,2024-04-02,19:00,Cobresal,,,,Barcelona SC,,Estadio Zorros del Desierto,,https://fbref.com/en/stathead/matchup/teams/ed392b02/8c71aef1/Cobresal-vs-Barcelona-History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Copa Libertadores,2023,Group stage,1,Tue,2023-04-04,17:00,Alianza Lima,0.9,0–0,1.5,Ath Paranaense,,Estadio Alejandro Villanueva,Carlos Ortega,https://fbref.com/en/matches/6b693afe/Alianza-Lima-Athletico-Paranaense-April-4-2023-Copa-Libertadores,Guillermo Salas,Paulo Turra,Josepmir Ballón,Thiago Heleno,https://fbref.com/en/players/ae9c80f3/Josepmir-Ballon,https://fbref.com/en/players/827422f9/Thiago-Heleno,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Copa Libertadores,2023,Group stage,1,Tue,2023-04-04,18:00,The Strongest,2.2,3–1,2.8,River Plate,,Estadio Hernando Siles,Jesús Valenzuela,https://fbref.com/en/matches/1d383c61/The-Strongest-River-Plate-April-4-2023-Copa-Libertadores,Ismael Recalvo,Martín Demichelis,Adrian Jusino,Enzo Pérez,https://fbref.com/en/players/cfcfebee/Adrian-Jusino,https://fbref.com/en/players/6d27cfc2/Enzo-Perez,H_25_Enrique Triverio_https://fbref.com/en/players/3306b9e8/Enrique-Triverio,H_35_Enrique Triverio_https://fbref.com/en/players/3306b9e8/Enrique-Triverio,H_48_Gonzalo Castillo_https://fbref.com/en/players/b0d11874/Gonzalo-Castillo,A_66_Lucas Beltrán_https://fbref.com/en/players/482d2bc3/Lucas-Beltran,,,,,,,,,,,,,,,,,,,,,
3,,Copa Libertadores,2022,Group stage,1,Tue,2022-04-05,18:15,Olimpia,1.1,0–0,1.2,Cerro Porteño,,Estadio Defensores del Chaco,Anderson Daronco,https://fbref.com/en/matches/9c626ab2/Club-Olimpia-Cerro-Porteno-April-5-2022-Copa-Libertadores,Julio César Cáceres,Francisco Arce,Antolín Alcaraz,Juan Gabriel Patiño,https://fbref.com/en/players/cee38e27/Antolin-Alcaraz,https://fbref.com/en/players/9901f13a/Juan-Gabriel-Patino,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Copa Libertadores,2022,Group stage,1,Tue,2022-04-05,18:15,Caracas,0.8,0–0,1.5,Ath Paranaense,,Estadio Olímpico,Andrés Rojas,https://fbref.com/en/matches/b71024e7/Caracas-Athletico-Paranaense-April-5-2022-Copa-Libertadores,Franceso Stifano,Alberto Valentim,Rubert Quijada,Marcelo Cirino,https://fbref.com/en/players/965879b9/Rubert-Quijada,https://fbref.com/en/players/6ba81b35/Marcelo-Cirino,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Copa Libertadores,2021,Group stage,1,Tue,2021-04-20,18:15,Dep Táchira,2.5,3–2,1.5,Olimpia,,Estadio Polideportivo de Pueblo Nuevo,Esteban Ostojich,https://fbref.com/en/matches/631e16cc/Deportivo-Tachira-Club-Olimpia-April-20-2021-Copa-Libertadores,Juan Tolisano,Sergio Órteman,Edgar Pérez Greco,Roque Santa Cruz,https://fbref.com/en/players/e5a1383d/Edgar-Perez-Greco,https://fbref.com/en/players/7f2107eb/Roque-Santa-Cruz,H_16_Lucas Gómez_https://fbref.com/en/players/e1cd7d5c/Lucas-Gomez,H_57_Freddy Góndola_https://fbref.com/en/players/61d684e9/Freddy-Gondola,H_80_Lucas Trejo_https://fbref.com/en/players/f3deea8b/Lucas-Trejo,A_14_Ramón Sosa_https://fbref.com/en/players/2d3417a1/Ramon-Sosa,A_76_Iván Arturo Torres_https://fbref.com/en/players/a4e51420/Ivan-Arturo-Torres,,,,,,,,,,,,,,,,,,,,
4,,Copa Libertadores,2021,Group stage,1,Tue,2021-04-20,18:15,Always Ready,1.5,2–0,0.5,Internacional,,Estadio Hernando Siles,Nicolás Gallo,https://fbref.com/en/matches/ebe442c3/Always-Ready-Internacional-April-20-2021-Copa-Libertadores,Omar Asad,Miguel Ángel Ramírez,Nelson Cabrera,Rodrigo Dourado,https://fbref.com/en/players/92851cd7/Nelson-Cabrera,https://fbref.com/en/players/d7d05a22/Rodrigo-Dourado,H_53_Fernando Saucedo_https://fbref.com/en/players/a3c5fd96/Fernando-Saucedo,H_90_Carmelo Algarañaz_https://fbref.com/en/players/f9026f04/Carmelo-Algaranaz,,,,,,,,,,,,,,,,,,,,,,,
5,,Copa Libertadores,2020,Group stage,1,Tue,2020-03-03,19:15,Internacional,2.9,3–0,0.2,Univ Católica,,Estádio José Pinheiro Borba,Ángel Arteaga,https://fbref.com/en/matches/3def6656/Internacional-Univ-Catolica-March-3-2020-Copa-Libertadores,Eduardo Coudet,Ariel Holan,Víctor Cuesta,José Pedro Fuenzalida,https://fbref.com/en/players/39fb428f/Victor-Cuesta,https://fbref.com/en/players/a35184fd/Jose-Pedro-Fuenzalida,H_62_Paolo Guerrero_https://fbref.com/en/players/ae6657a1/Paolo-Guerrero,H_67_Paolo Guerrero_https://fbref.com/en/players/ae6657a1/Paolo-Guerrero,H_71_Marcos Guilherme_https://fbref.com/en/players/d5ff6084/Marcos-Guilherme,A_77_Valber Huerta_https://fbref.com/en/players/18679d62/Valber-Huerta,,,,,,,,,,,,,,,,,,,,,
5,,Copa Libertadores,2020,Group stage,1,Tue,2020-03-03,19:15,Defensa y Just,1.0,1–2,1.2,Santos,,Estadio Norberto Tito Tomaghello,Gustavo Tejera,https://fbref.com/en/matches/7f64afbb/Defensa-y-Just-Santos-March-3-2020-Copa-Libertadores,Hernán Crespo,Jesualdo Ferreira,Ezequiel Unsain,Carlos Sánchez,https://fbref.com/en/players/036f15cf/Ezequiel-Unsain,https://fbref.com/en/players/a6dbad80/Carlos-Sanchez,H_45_Juan Rodríguez_https://fbref.com/en/players/18da6cc6/Juan-Rodriguez,A_72_Jobson_https://fbref.com/en/players/bb9b3808/Jobson,A_86_Kaio Jorge_https://fbref.com/en/players/0cf465f2/Kaio-Jorge,,,,,,,,,,,,,,,,,,,,,,
